"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Roger Moore;Actor, Miscellaneous Crew, Producer;1927-10-14;UK;NA
Barbara Bach;Actress;1947-08-27;USA;NA
Curd Jürgens;Actor, Director, Soundtrack;1915-12-13;Germany;1982-06-18
Richard Kiel;Actor, Writer, Producer;1939-09-13;USA;2014-09-10
Caroline Munro;Actress, Soundtrack;1949-01-16;UK;NA
Walter Gotell;Actor;1924-03-15;Germany;1997-05-05
Geoffrey Keen;Actor;1916-08-21;UK;2005-11-03
Bernard Lee;Actor, Writer;1908-01-10;UK;1981-01-16
George Baker;Actor, Writer, Miscellaneous Crew;1931-04-01;Bulgaria;2011-10-07
Michael Billington;Actor, Soundtrack, Writer;1941-12-24;UK;2005-06-03
Olga Bisera;Actress, Producer;1949;Yugoslavia;NA
Desmond Llewelyn;Actor;1914-09-12;UK;1999-12-19
Edward de Souza;Actor, Director, Writer;1932-09-04;UK;NA
Vernon Dobtcheff;Actor, Writer, Miscellaneous Crew;1934-08-14;France;NA
Valerie Leon;Actress;1943-11-12;UK;NA
Lois Maxwell;Actress;1927-02-14;Canada;2007-09-29
Sydney Tafler;Actor;1916-07-31;UK;1979-11-08
Nadim Sawalha;Actor;1935-09-09;Jordan;NA
Sue Vanner;Actress;NA;NA;NA
Eva Reuber-Staier;Actress;1951;Austria;NA
Robert Brown;Actor;1921-07-23;UK;2003-11-11
Marilyn Galsworthy;Actress;1954;UK;NA
Milton Reid;Actor;1917-04-29;India;1987
Cyril Shaps;Actor;1923-10-13;UK;2003-01-01
Milo Sperber;Actor, Writer;1911-03-20;Poland;1992-12-22
Albert Moses;Actor, Producer;1937-12-19;Sri Lanka;NA
Rafiq Anwar;Actor, Director, Producer;NA;NA;1977
Felicity York;Actress;NA;NA;NA
Dawn Rodrigues;Actress;NA;NA;NA
Anika Pavel;Actress;NA;NA;NA
Steve Carell;Actor, Producer, Soundtrack;1962-08-16;USA;NA
Channing Tatum;Actor, Producer, Director;1980-04-26;USA;NA
Mark Ruffalo;Actor, Producer, Director;1967-11-22;USA;NA
Sienna Miller;Actress;1981-12-28;USA;NA
Vanessa Redgrave;Actress, Soundtrack, Producer;1937-01-30;UK;NA
Anthony Michael Hall;Actor, Producer, Soundtrack;1968-04-14;USA;NA
Guy Boyd;Actor;1943-04-15;USA;NA
Brett Rice;Actor;1954;NA;NA
Jackson Frazer;Actor;NA;NA;NA
